class,title,content,answer,text
7,What is the best?,"If I have no garden and can't use the garbage can, where can I dispose of an apple peal?","you can leave it any wear it will break down quickly, like a leaf off of a tree. can you just give me the points no one else is going to answer",what is the best if i have no garden and can t use the garbage can where can i dispose of an apple peal you can leave it any wear it will break down quickly like a leaf off of a tree can you just give me the points no one else is going to answer
4,"How can you recycle, reuse and reduce glass?",,"Okay, you reuse the glass jar. Or, if it's a glass bottle, you go to the supermarket and toss it into the machine that recycles glass and collect your five cents.",how can you recycle reuse and reduce glass okay you reuse the glass jar or if it s a glass bottle you go to the supermarket and toss it into the machine that recycles glass and collect your five cents
4,how to make oil demand more elastic?,,encourage recycling of plastic based products like plastic bottles and bags. \nEncourage fuel economy and the use of public transportation\nMore energy efficient houses\nNuclear power plants,how to make oil demand more elastic encourage recycling of plastic based products like plastic bottles and bags encourage fuel economy and the use of public transportation more energy efficient houses nuclear power plants
7,"looking for a used 55 gallon plastic barrel to buy in MA, RI, CT area?",,maybe try the local recycling center in your area. Or an industrial shipping/crating company. What about asking a lumber yard.,looking for a used gallon plastic barrel to buy in ma ri ct area maybe try the local recycling center in your area or an industrial shipping crating company what about asking a lumber yard
7,what to do with a broken dryer?,,"take it to your local recycle place, are gives you a few bucks for it... you can call your recycle place to see how much you can get for it...",what to do with a broken dryer take it to your local recycle place are gives you a few bucks for it you can call your recycle place to see how much you can get for it
2,what are the 3Rs? Explain each?,what are the 3Rs? Explain each,if you mean in terms of recycling \nreduse - reducer the amount of somehting you are using  \nreuse - reuse objects that can be reused\nrecycle - put it in a bin to be recycled,what are the rs explain each what are the rs explain each if you mean in terms of recycling reduse reducer the amount of somehting you are using reuse reuse objects that can be reused recycle put it in a bin to be recycled
1,Is it easy to recycle in your community?,,"Yes, all you have to do is put it into a sperate container then your regular garbage and just put it out for the garbage people to take.",is it easy to recycle in your community yes all you have to do is put it into a sperate container then your regular garbage and just put it out for the garbage people to take
4,how do you recycle plastic?,advanced recycling,"Clean, melt, and remold",how do you recycle plastic advanced recycling clean melt and remold
7,How can I recycle wastepaper?,I want to start a small business for recycling waste paper.,you may want to send an email to enquiries@wastecare.co.uk,how can i recycle wastepaper i want to start a small business for recycling waste paper you may want to send an email to enquiries wastecare co uk
2,how do you safely dispose of mercury?,,"Depending upon whether it is metallic mercury or a mercury compound, different rules apply.\nYou can get some ideas at the site below:",how do you safely dispose of mercury depending upon whether it is metallic mercury or a mercury compound different rules apply you can get some ideas at the site below
2,How to build your own toy car out of recyclable materials?,,you can use an orange juice contrainer as the base of the car and for the wheels...anything round shaped.,how to build your own toy car out of recyclable materials you can use an orange juice contrainer as the base of the car and for the wheels anything round shaped
5,I have lots of floppy discs and Cd's to recycle. Where can I send them to?,,"unfortunately, the only thing you can do is shred the cd's and place them in the trash.",i have lots of floppy discs and cd s to recycle where can i send them to unfortunately the only thing you can do is shred the cd s and place them in the trash
4,What it the little clock symbol imprinted on plastic products.?,,It's a recycle symbol!,what it the little clock symbol imprinted on plastic products it s a recycle symbol
3,"where can i recycle magazines in atlanta, ga?",career magazines,Take them to the local Women's Resource Center.,where can i recycle magazines in atlanta ga career magazines take them to the local women s resource center
2,"How can reduction , regulation , re-use and recycling play a role in cleaning our environment?",,It reduces the wastes that would manifest in our environment.It also builds creativity for the person who practice it.,how can reduction regulation re use and recycling play a role in cleaning our environment it reduces the wastes that would manifest in our environment it also builds creativity for the person who practice it
7,What is the best way to make money with scrap metal?,,"Recycle it, or turn it into sculptures you can sell to people who find it ""artsy.""",what is the best way to make money with scrap metal recycle it or turn it into sculptures you can sell to people who find it artsy
4,How can garbage be cleaned up or prevented?,,We can recycle so that today's garbage could be tomorrow's stuff.\nDon't throw out - recycle!,how can garbage be cleaned up or prevented we can recycle so that today s garbage could be tomorrow s stuff don t throw out recycle
10,Is it worth recycling at home when huge companys still use landfill instead?,,"Recycling is a work in progress. Hopefully in time it will be common practise.\n\nIts not there yet, but we can't step backwards, especially since its not a lot of trouble anyways.",is it worth recycling at home when huge companys still use landfill instead recycling is a work in progress hopefully in time it will be common practise its not there yet but we can t step backwards especially since its not a lot of trouble anyways
5,Can anybody tell me where I can get the recycle symbol to use in a document?,,Here take a look at these\n\nhttp://images.google.ca/images?svnum=10&hl=en&lr=&q=recycle&btnG=Search,can anybody tell me where i can get the recycle symbol to use in a document here take a look at these
5,Looking for IT recycle in Birmingham area where computers can be bought in large quantity?,A place used computers can be bought in large quantity for export all over England,I would reccomed chris co. GOOD COMPUTERS.,looking for it recycle in birmingham area where computers can be bought in large quantity a place used computers can be bought in large quantity for export all over england i would reccomed chris co good computers
1,"How can I recycle more around the house, school, town, etc.?","I am a budding enviromentalist, and would like to also know if you think that you have to be a vegetarian to be an enviromentalist.",Eat whatever you like!  Freecycle whatever you wish to get rid of!,how can i recycle more around the house school town etc i am a budding enviromentalist and would like to also know if you think that you have to be a vegetarian to be an enviromentalist eat whatever you like freecycle whatever you wish to get rid of
5,where can I recycle 500 old audio tapes and receive cahsh for it.?,These tapes are from Amway business from a few years ago and are in good condition. I have not found anyone who wants the tapes.,nobody uses audio cassettes anymore.,where can i recycle old audio tapes and receive cahsh for it these tapes are from amway business from a few years ago and are in good condition i have not found anyone who wants the tapes nobody uses audio cassettes anymore
9,were can i find a cheap weekly motel in Anaheim or Buena park?,,Why don't you try to share a flat?  It can be less expensive and allow other ways to save money.\n\nA cheap breakfast in a cheap hotel = $10.00  Same breakfast by your own... $3.00  (disposal dishes included).,were can i find a cheap weekly motel in anaheim or buena park why don t you try to share a flat it can be less expensive and allow other ways to save money a cheap breakfast in a cheap hotel same breakfast by your own disposal dishes included
1,What do you do when you take a dump and then realize U ran out of Toilet Paper?  I jump in the shower. You?,,I'd grab the nearest wash cloth and when i am finish i'd dispose of it.,what do you do when you take a dump and then realize u ran out of toilet paper i jump in the shower you i d grab the nearest wash cloth and when i am finish i d dispose of it
5,what's a website where people can trade or give away items?,i've heard of one or two of them.,http://www.Freecycle.com\n\nReduce\nReuse\nRecycle,what s a website where people can trade or give away items i ve heard of one or two of them reduce reuse recycle
10,"what are the recycling days for Balt. County, MD? i.e. paper, glas, etc?",,"Baltimore County does not post the schedules because there are 225 different ones. However, if you give them your address, they will send you a schedule.\n\nYou can request it at this website:\nhttp://www.co.ba.md.us/Agencies/publicworks/recycling/collectschinfo.html",what are the recycling days for balt county md i e paper glas etc baltimore county does not post the schedules because there are different ones however if you give them your address they will send you a schedule you can request it at this website
1,"What can I recycle in Sullivan county, Tennessee and where?",,Have you tried www.freecycle.org? Check out the website. It's not exactly 'recycle' by the purest sense of the term but once you check the website you'll be sure to like it.,what can i recycle in sullivan county tennessee and where have you tried www freecycle org check out the website it s not exactly recycle by the purest sense of the term but once you check the website you ll be sure to like it
1,"Where is a paper recycling center in Corona, CA?  I have 2 pallates of magazine quality catalogs.?",,http://local.yahoo.com/details?fr=dd-local-tl2&id=20722785&stx=paper+recycling&csz=Corona+CA&ed=9lYjG6160Sy4BzvstX65LtGOtNRkVsDUADEZVRzYxx0HIjsWSes94C25NFxFr3TSUc_fwin.R8WK,where is a paper recycling center in corona ca i have pallates of magazine quality catalogs
2,How loud is 80 Decibels? Can you make a comparison?,,80 decibels (or db) is about the sound of noisy traffic on the street or a vaccum cleaner or garbage disposal. Check out the links to see comparative charts.,how loud is decibels can you make a comparison decibels or db is about the sound of noisy traffic on the street or a vaccum cleaner or garbage disposal check out the links to see comparative charts
10,"If you were to buy a can of soda, and you don't recycle it, where does the C.R.V. go?",,In the state's pocket.,if you were to buy a can of soda and you don t recycle it where does the c r v go in the state s pocket
2,What can You recycle at home for a school science project?,,Feces,what can you recycle at home for a school science project feces
4,Gutting fish?,What is the easiest way to gut a fish and can you throw the stuff down the garbage disposal?,"for me, get a pair of sharp scissors cut through the mouth, down to the fish belly. that's where most of the unnecessary stuff is.",gutting fish what is the easiest way to gut a fish and can you throw the stuff down the garbage disposal for me get a pair of sharp scissors cut through the mouth down to the fish belly that s where most of the unnecessary stuff is
2,how can we a dispose rechargable pencil battary (cell)or a Ni-Cd cell?,,http://www.swa.org/site/hhw/batteries2/hhw_batteries2.htm,how can we a dispose rechargable pencil battary cell or a ni cd cell
1,Do you know of anywhere that I can recycle paper for money?,I have tons of it at work and it just gets thrown away.  Is there anywhere in Houston?  What about plastic bottles?,try a local junk yard,do you know of anywhere that i can recycle paper for money i have tons of it at work and it just gets thrown away is there anywhere in houston what about plastic bottles try a local junk yard
10,where in north manchester can i recycle plastic bottles and containers ?,,In the UK there are recycling sites everywhere now at all the large supermarkets and all council tips,where in north manchester can i recycle plastic bottles and containers in the uk there are recycling sites everywhere now at all the large supermarkets and all council tips
7,where can i purchase recycled plastic?,,go to the recycling plant,where can i purchase recycled plastic go to the recycling plant
6,Where can I recycle Coleman propane cylinders?,Not the big ones- the small ones for camping.,"take it to your local hazardis waste material center, they should know what to do with it:)",where can i recycle coleman propane cylinders not the big ones the small ones for camping take it to your local hazardis waste material center they should know what to do with it
1,Where can I dispose of 100's of ring binder folders?,,Give them away at www.freecycle.org,where can i dispose of s of ring binder folders give them away at www freecycle org
7,Where can i go to recycle acrylic & other sign board plastics for cash?,,,where can i go to recycle acrylic other sign board plastics for cash
8,How do Glaswegians recycle toilet paper?,They Beat The Sh!t out of it!,lol,how do glaswegians recycle toilet paper they beat the sh t out of it lol
5,where can I find internet server Maxitech in Hermanus ZA?,,"???\nmaxitech is a british company who recycle and reuse computers.They don't trade in south africa.\n http://www.maxitech.biz/new/about-us.html\n\nclosest company in za is http://www.maxitech.co.za/ , but points to a different company.\n\ndefinitely, nothing in Hermanus.",where can i find internet server maxitech in hermanus za maxitech is a british company who recycle and reuse computers they don t trade in south africa closest company in za is but points to a different company definitely nothing in hermanus
2,what are you suppose to do with batteries if you can't throw them out?,,Radio Shack has a worldwide recycling program at all of their stores.  They will recycle any battery that they sell.,what are you suppose to do with batteries if you can t throw them out radio shack has a worldwide recycling program at all of their stores they will recycle any battery that they sell
5,"Where can I send my epsom cartridges for recycling, preferably to a charity?",Recycle cartridges via envelopes that charities send out.,If u are in Australia u can send them to planet ark. If not in Australia look in ur local phone book. Hoped I helped,where can i send my epsom cartridges for recycling preferably to a charity recycle cartridges via envelopes that charities send out if u are in australia u can send them to planet ark if not in australia look in ur local phone book hoped i helped
2,can anyoneplan a 0 carbon city of his/her dreams by giving at least 5 new ideas and a sketch of the city??????,,"Power from fuel cells,\n\nGreenery all around\n\nInstant CO2 recycling\n\nInstant Sewage treatment.\n\nWhat else ????????????????",can anyoneplan a carbon city of his her dreams by giving at least new ideas and a sketch of the city power from fuel cells greenery all around instant co recycling instant sewage treatment what else
1,"What are the easiest, simplest things an individual can do to help save the planet?",,recycle,what are the easiest simplest things an individual can do to help save the planet recycle
5,how can i make extra money in little time?,,recycle beer cans,how can i make extra money in little time recycle beer cans
2,Does the burning of garbage in a burn barrel hurt the planet?,what other ways can you despose of the trash that you can't recycle?,Yes.\nPut it ina dumpster.,does the burning of garbage in a burn barrel hurt the planet what other ways can you despose of the trash that you can t recycle yes put it ina dumpster
2,"What is pepsoglaphin, and how is it used?","Pepsoglaphin has something to do with paper-making. Does anyone know what it is, how it's used, various properties? Is it toxic, or a pollutant?\n\nThanks",It's recycling paper. It's better for the environment.,what is pepsoglaphin and how is it used pepsoglaphin has something to do with paper making does anyone know what it is how it s used various properties is it toxic or a pollutant thanks it s recycling paper it s better for the environment
7,i am starting my own gardening buisiness can i store my waste on farm land for disposal at a later date?,,"if you mean plant waste, it is compost and makes very \ngood soil conditioning.",i am starting my own gardening buisiness can i store my waste on farm land for disposal at a later date if you mean plant waste it is compost and makes very good soil conditioning
6,Which tag team wrestlers recycle the most?,"plastic, glass, paper, etc.  I wanna know who does which ones best!",How do we know,which tag team wrestlers recycle the most plastic glass paper etc i wanna know who does which ones best how do we know
